title,price,type,volume,system,brand,rating
Холодильник БИРЮСА 153 (ЕК),104990,двухкамерный,230 л,Статическая,БИРЮСА,0
Холодильник ATLANT ХМ 6024-031,164990,двухкамерный,367 л,Статическая,ATLANT,0
Холодильник SAMSUNG RB 30 A30N0SA,209990,двухкамерный,332 л,No Frost,SAMSUNG,0
Холодильник INDESIT ITS 4200 S,197990,двухкамерный,325 л,А,INDESIT,0
Холодильник HISENSE RQ563N4GB1,459990,Side-by-Side,432 л,No Frost,HISENSE,0
Холодильник LG GC-B 22 FTMPL,689990,Side-by-Side,594 л,No Frost,LG,0
Холодильник BOSCH KGN 49XI30U,519990,двухкамерный,435 л,No Frost,BOSCH,0
Холодильник BEKO RDSK 240M00W,154990,двухкамерный,223 л,Статическая,BEKO,0
Холодильник BOSCH KGN 86AW30U,662990,двухкамерный,682 л,No Frost,BOSCH,0
Холодильник ATLANT ХМ 4021-000,137990,двухкамерный,326 л,Статическая,ATLANT,0
Холодильник SAMSUNG RB 30 A30N0WW,204990,двухкамерный,332 л,No Frost,SAMSUNG,0
Холодильник LG GA-B 509 MCUM,379990,двухкамерный,384 л,No Frost,LG,0
Холодильник SAMSUNG RB 37 A5200SA,274990,двухкамерный,367 л,No Frost,SAMSUNG,5
Холодильник SAMSUNG RB 38 T7762SA,394990,двухкамерный,385 л,No Frost,SAMSUNG,5
Холодильник SAMSUNG BESPOKE  RR39T7475AP,439990,Bespoke,385 л,No Frost,SAMSUNG,5
Холодильник БИРЮСА 649,147990,двухкамерный,380 л,Статическая,БИРЮСА,0
Холодильник BEKO RCSK 335M20W,199990,двухкамерный,331 л,Статическая,BEKO,0
Холодильник BEKO RCSK 270M20W,184990,двухкамерный,270 л,Статическая,BEKO,0
Холодильник ATLANT МХ 5810-62,107990,однокамерный,280 л,А,ATLANT,0
Холодильник БИРЮСА 151 (ЕК),109990,двухкамерный,240 л,Статическая,БИРЮСА,0
Холодильник MIDEA MDRB 369FGF01,134990,двухкамерный,267 л,А+,MIDEA,0
Холодильник MIDEA MDRB 275FGF41,124990,двухкамерный,195 л,А+,MIDEA,0
Холодильник LG GN F 702 HMHZ,489990,двухкамерный,506 л,No Frost,LG,0
Холодильник HANSA FK3356.4CDFZ,299990,двухкамерный,341 л,No Frost,HANSA,0
Холодильник SAMSUNG RT 53 K6340BS,499990,двухкамерный,528 л,No Frost,SAMSUNG,0
Холодильник BEKO RCSK 310M20S,194990,двухкамерный,300 л,Статическая,BEKO,0
Холодильник ATLANT ХМ 4621-141,165990,двухкамерный,324 л,Статическая,ATLANT,0
Холодильник SAMSUNG RB 36 T774FB1,354990,двухкамерный,360 л,А+,SAMSUNG,0
Холодильник SAMSUNG RB 36 T774FEL,349990,двухкамерный,360 л,А+,SAMSUNG,0
Холодильник SAMSUNG RT 38K5535EF,324990,двухкамерный,384 л,No Frost,SAMSUNG,0
Холодильник БИРЮСА 631,144990,двухкамерный,345 л,Статическая,БИРЮСА,0
Холодильник SAMSUNG RS 61 R5001F8,629990,Side-by-Side,647 л,No Frost,SAMSUNG,5
Холодильник ATLANT ХМ 4625-101,175990,двухкамерный,378 л,Статическая,ATLANT,0
Холодильник ATLANT ХМ 4623-100,157990,двухкамерный,355 л,Статическая,ATLANT,0
Холодильник INDESIT DS 318 W,164990,двухкамерный,310 л,Статическая,INDESIT,0
Холодильник SAMSUNG RT 53 K6510EF,504990,двухкамерный,526 л,No Frost,SAMSUNG,0
Холодильник ATLANT ХМ 4009-022,121990,двухкамерный,281 л,Статическая,ATLANT,0
Холодильник MIDEA MDRB 379FGF02,179990,двухкамерный,259 л,No Frost,MIDEA,0
Холодильник MIDEA MDRT 294FGF01,109990,двухкамерный,А+,143х55х55,MIDEA,0
Холодильник LG GR-X 24FMKBL,1529990,Door-in-Door,563 л,No Frost,LG,0
Холодильник MIDEA MDRB 424FGF02O,204990,двухкамерный,298 л,No Frost,MIDEA,0
Холодильник SAMSUNG RB 33 A32N0EL,239990,двухкамерный,328 л,А+,SAMSUNG,0
Холодильник INDESIT ITS 5200 X,219990,двухкамерный,325 л,196х60х64,INDESIT,0
Холодильник LG GN-F 702 HEHZ.,479990,двухкамерный,506 л,No Frost,LG,0
Холодильник HISENSE RQ563N4GW1,429990,Side-by-Side,432 л,No Frost,HISENSE,0
Холодильник HISENSE RS677N4AC1,412990,Side-by-Side,508 л,No Frost,HISENSE,0
Холодильник LG GA-B 509 SVUM,334990,двухкамерный,384 л,No Frost,LG,0
Холодильник BOSCH KGN 39VW24R,315990,двухкамерный,388 л,А+,BOSCH,0
Холодильник SAMSUNG RT 21 M6211SG,599990,двухкамерный,589 л,No Frost,SAMSUNG,0
Холодильник БИРЮСА 320NF,143990,двухкамерный,245 л,No Frost,БИРЮСА,0
Холодильник БИРЮСА 124,99990,двухкамерный,205 л,Статическая,БИРЮСА,0
Холодильник SAMSUNG RS 54 N3003EF,539990,Side-by-Side,535 л,No Frost,SAMSUNG,0
Холодильник ATLANT ХМ 4621-101,153990,двухкамерный,338 л,Статическая,ATLANT,0
Холодильник BOSCH KGN 56LW30U,657990,двухкамерный,559 л,No Frost,BOSCH,0
Холодильник INDESIT DF 4180 W,160990,двухкамерный,333 л,No Frost,INDESIT,0
Холодильник MIDEA HC-689WEN(WG) ,419990,Side-by-Side,530 л,No Frost,MIDEA,0
Холодильник BOSCH KGN 39XC28R,417990,двухкамерный,419 л,А+,BOSCH,0
Холодильник SAMSUNG RB 33 A32N0WW,229990,двухкамерный,350 л,No Frost,SAMSUNG,0
Холодильник INDESIT ITS 4180 W,180990,двухкамерный,298 л,А,INDESIT,0
Холодильник MIDEA MDRT460MGE05R,244990,двухкамерный,338 л,No Frost,MIDEA,5
Холодильник HISENSE RS677N4AW1,399990,Side-by-Side,508 л,No Frost,HISENSE,0
Холодильник HISENSE RB343D4CW1,179990,двухкамерный,264 л,А+,HISENSE,0
Холодильник SAMSUNG RB 36 T774FSA,344990,двухкамерный,360 л,А+,SAMSUNG,0
Холодильник BOSCH KGN 39LW32R,477990,двухкамерный,388 л,No Frost,BOSCH,0
Холодильник BEKO CN 167220X,564990,двухкамерный,561 л,No Frost,BEKO,0
Холодильник БИРЮСА 634,124990,двухкамерный,295 л,Статическая,БИРЮСА,0
Холодильник MIDEA HQ-627 WEN(WG),464990,Side-by-Side,544 л,No Frost,MIDEA,0
Холодильник LG GA-B 509 SEDZ,319990,двухкамерный,384 л,No Frost,LG,0
Холодильник BOSCH KGV 39XL21R,238990,двухкамерный,351 л,Статическая,BOSCH,0
Холодильник ATLANT ХМ 4424-049-ND,196990,двухкамерный,334 л,No Frost,ATLANT,5
Холодильник BEKO CNKR 5356EC0S,254990,двухкамерный,335 л,No Frost,BEKO,0
Холодильник LG GC Q 247 CABV,779990,Door-in-Door,626 л,No Frost,LG,0
Холодильник MIDEA MDRB 424FGF12,194990,двухкамерный,295 л,No Frost,MIDEA,0
Холодильник DAUSCHER DRF-090DFBL-RETRO,69990,однокамерный,95 л,А+,DAUSCHER,0
Холодильник ATLANT ХМ 4623-140,169990,двухкамерный,341 л,Статическая,ATLANT,0
Холодильник MIDEA MDRS 723MYF34,419990,Side-by-Side,516 л,No Frost,MIDEA,0
Холодильник MIDEA MDRB 424FGF34I,199990,двухкамерный,308 л,No Frost,MIDEA,0
Холодильник BEKO RCNK 270K20W,214990,двухкамерный,270 л,No Frost,BEKO,0
Холодильник BOSCH KGA 76PI30U,703990,двухкамерный,578 л,No Frost,BOSCH,0
Холодильник MIDEA MDRB 424FGF42I,194990,двухкамерный,No Frost,А+,MIDEA,0
Холодильник INDESIT ITS 5180 W,197990,двухкамерный,298 л,А,INDESIT,0
Холодильник BOSCH KGN 39UL22R,289990,двухкамерный,419 л,А+,BOSCH,0
Холодильник MIDEA HD-400RWEN(BE),184990,двухкамерный,308 л,А+,MIDEA,0
Холодильник HANSA FK3356N.4DFX,319990,двухкамерный,341 л,No Frost,HANSA,0
Холодильник SAMSUNG BESPOKE  RB33T3070AP,399990,Bespoke,328 л,No Frost,SAMSUNG,5
Холодильник INDESIT DS 4180 B,158990,двухкамерный,310 л,А,INDESIT,0
Холодильник BOSCH KGV 39XW21R,232990,двухкамерный,351 л,Статическая,BOSCH,0
Холодильник BOSCH KGN 39VL21R,301990,двухкамерный,366 л,No Frost,BOSCH,0
Холодильник LG GN A 702 HMHZ,449990,двухкамерный,512 л,No Frost,LG,0
Холодильник BEKO CNL 7270KC0W,214990,двухкамерный,270 л,No Frost,BEKO,0
Холодильник ATLANT ХМ 4008-022,112990,двухкамерный,244 л,Статическая,ATLANT,0
Холодильник BEKO RCNK 310E20VW,244990,двухкамерный,310 л,А+,BEKO,0
Холодильник MIDEA MDRT 333FGF01,119990,двухкамерный,235 л,А+,MIDEA,0
Холодильник BOSCH KGN 39XW27R,339990,двухкамерный,419 л,А+,BOSCH,0
Холодильник HISENSE RT267D4AW1,119990,двухкамерный,215 л,А+,HISENSE,0
Холодильник LIEBHERR CU 3331-21 001,318990,двухкамерный,296 л,Статическая,LIEBHERR,0
Холодильник MIDEA HC-702WEN(BE),399990,Side-by-Side,587 л,No Frost,MIDEA,5
Холодильник HANSA FK3356.4GBDFZ,349990,двухкамерный,341 л,No Frost,HANSA,0
Холодильник MIDEA HD-273 FN,99990,двухкамерный,207 л,Статическая,MIDEA,0
Холодильник HITACHI R-WB730PUC5 XGR,985990,Side-by-Side,590 л,No Frost,HITACHI,5
Холодильник MIDEA HC-689 WEN(ST),349990,Side-by-Side,510 л,No Frost,MIDEA,0
Холодильник SAMSUNG RB 37 J5041 B1,359990,двухкамерный,367 л,No Frost,SAMSUNG,0
Холодильник SAMSUNG RS 61 R5041SL,649990,Side-by-Side,647 л,No Frost,SAMSUNG,0
Холодильник BEKO RCNK 321E21X,254990,двухкамерный,291 л,No Frost,BEKO,0
Холодильник Whirlpool T TNF 8111 OX,412990,двухкамерный,427 л,No Frost,WHIRLPOOL,0
Холодильник BEKO CNMV 5310EC0W,239990,двухкамерный,276 л,No Frost,BEKO,0
Холодильник BEKO RCNK 310KC0S,234990,двухкамерный,276 л,No Frost,BEKO,0
Холодильник BEKO RCNK 335K00W,234990,двухкамерный,300 л,No Frost,BEKO,0
Холодильник BEKO RCSK 310M20W,189990,двухкамерный,300 л,Статическая,BEKO,0
Холодильник BEKO CSMV 5335MC0S,204990,двухкамерный,331 л,Статическая,BEKO,3
Холодильник SAMSUNG RT 62 K7000EF,579990,двухкамерный,620 л,No Frost,SAMSUNG,0
Холодильник SAMSUNG RF 50 K5961DP,829990,Side-by-Side,486 л,No Frost,SAMSUNG,0
Холодильник BOSCH KGV 36XL2AR,216990,двухкамерный,317 л,Статическая,BOSCH,0
Холодильник INDESIT DS 320 W,175990,двухкамерный,339 л,Статическая,INDESIT,0
Холодильник BEKO RCSK 379M21W,209990,двухкамерный,379 л,Статическая,BEKO,0
Холодильник LG GC B 247 SMUV,599990,Side-by-Side,626 л,No Frost,LG,0
Холодильник INDESIT DFE 4200 S,176990,двухкамерный,359 л,No Frost,INDESIT,0
Холодильник MIDEA MDRS 619FGF25,299990,Side-by-Side,460 л,No Frost,MIDEA,0
Холодильник MIDEA MDRS 723MYF38,419990,Side-by-Side,516 л,No Frost,MIDEA,0
Холодильник INDESIT ITS 4160 W,170990,двухкамерный,257 л,167х60х64,INDESIT,0
Холодильник BOSCH KGN 39UW22R,282990,двухкамерный,419 л,No Frost,BOSCH,0
Холодильник SAMSUNG RB 37 A5200EL,279990,двухкамерный,367 л,No Frost,SAMSUNG,0
Холодильник SAMSUNG RB 36 T774FWW,339990,двухкамерный,360 л,А+,SAMSUNG,0
Холодильник MIDEA HD-400 RWEN (ST) ,189990,двухкамерный,295 л,No Frost,MIDEA,0
Холодильник HANSA FK3556.4DFZH,399990,двухкамерный,377 л,No Frost,HANSA,0
Холодильник BEKO CNKR 5321E20SB,249990,двухкамерный,301 л,No Frost,BEKO,0
Холодильник HITACHI R-BG410PU6X GBK,399990,двухкамерный,320 л,No Frost,HITACHI,0
Холодильник HITACHI R-VG660PUC7 GBK,595990,двухкамерный,550 л,No Frost,HITACHI,0
Холодильник HITACHI R-V660PUC7 BSL,549990,двухкамерный,550 л,No Frost,HITACHI,0
Холодильник MIDEA HD-221 RNT,99990,двухкамерный,195 л,Статическая,MIDEA,0
Холодильник LG GA-B 459 SMHZ,259990,двухкамерный,341 л,No Frost,LG,0
Холодильник LG GA-B 509 PSAZ,449990,двухкамерный,384 л,No Frost,LG,0
Холодильник Whirlpool WTNF 923 B,328990,двухкамерный,322 л,No Frost,WHIRLPOOL,0
Холодильник SAMSUNG RT 62 K7000S9,584990,двухкамерный,620 л,No Frost,SAMSUNG,5
Холодильник SAMSUNG RB 37 J5441SA,329990,двухкамерный,367 л,No Frost,SAMSUNG,0
Холодильник SAMSUNG RT 46 K6360SL,354990,двухкамерный,453 л,No Frost,SAMSUNG,0
Холодильник LIEBHERR CNbe 4313-22 001,355990,двухкамерный,304 л,No Frost,LIEBHERR,0
Холодильник LIEBHERR CN 4313-24 001,344990,двухкамерный,304 л,No Frost,LIEBHERR,0
Холодильник HITACHI R-BG410PUC6XGBE,399990,двухкамерный,330 л,No Frost,HITACHI,0
Холодильник HITACHI R-BG410PUC6XGPW,399990,двухкамерный,320 л,А++,HITACHI,0
Холодильник HITACHI R-BG410PUC6GBK,362990,двухкамерный,320 л,No Frost,HITACHI,0
Холодильник INDESIT ITS 4200 W,190990,двухкамерный,325 л,No Frost,INDESIT,0
Холодильник HISENSE RB390N4AD1,259990,двухкамерный,300 л,А+,HISENSE,0
Холодильник HISENSE RB390N4AW1,249990,двухкамерный,300 л,No Frost,HISENSE,0
Холодильник HISENSE RB372N4AW1,219990,двухкамерный,287 л,No Frost,HISENSE,0
Холодильник LIEBHERR CBNef 4835-21 001,686990,двухкамерный,343 л,No Frost,LIEBHERR,0
Холодильник LIEBHERR CNbe 4015-21 001,474990,двухкамерный,356 л,No Frost,LIEBHERR,0
Холодильник HANSA FK3556.4CDFZ,359990,двухкамерный,377 л,А+,HANSA,0
Холодильник MIDEA HD-606 FWEN(STD),279990,двухкамерный,498 л,No Frost,MIDEA,0
Холодильник HITACHI R-BG410PUC6X GBE,399990,двухкамерный,330 л,No Frost,HITACHI,5
Холодильник HITACHI R-BG410PUC6X XGR,399990,двухкамерный,330 л,No Frost,HITACHI,0
Холодильник HITACHI R-V660PUC7 BEG,549990,двухкамерный,550 л,No Frost,HITACHI,5
Холодильник LG GA-B 509 SMDZ,319990,двухкамерный,384 л,No Frost,LG,0
Холодильник LG GR H 802 HMHZ,629990,двухкамерный,592 л,No Frost,LG,0
