title,price,wi-fi,weight,4G,brand,rating
Смарт часы XIAOMI Amazfit GTR 3 Thunder Black,79890,нет,нет,XIAOMI,Amazfit GTR,0
Смарт часы XIAOMI GTS 3 Ivory White,79890,нет,нет,XIAOMI,Amazfit GTS,0
Смарт часы XIAOMI GTS 3 Graphite Black,79890,нет,нет,XIAOMI,Amazfit GTS,0
Смарт часы XIAOMI Amazfit Bip U Pink,24890,нет,нет,нет,XIAOMI,0
Смарт часы XIAOMI Amazfit Bip U Black,24890,нет,нет,нет,XIAOMI,0
Смарт часы SAMSUNG Galaxy Watch4 Classic 42mm Silver (SM-R880NZSACIS),194890,Super AMOLED,5.2,нет,4 series,0
Смарт часы XIAOMI Amazfit GTS2 Mini Green,47990,220 мАч,5.2,нет,Amazfit GTS,0
Смарт часы CANYON CNS-SW75BL (blue),24890,"есть, IP68",IPS,алюминий,CANYON,0
Смарт часы XIAOMI Amazfit GTS Pink,59890,220 мАч,5.2,нет,Amazfit GTS,0
"Смарт часы GARMIN VENU Sq, Metallic Orchid Aluminium Bezel (010-02427-12) ",104990,есть,нет,есть,Venu,0
"Смарт часы GARMIN VENU Sq, Light Gold Aluminium Bezel (010-02427-11)",104990,есть,нет,нет,Venu,0
Смарт часы XIAOMI Amazfit GTS Blue,56890,220 мАч,5.2,да,Amazfit GTS,0
Смарт часы XIAOMI Amazfit GTR 42mm White,59890,5.2,390х390,"1,2 дюйм (3,0 см)",Amazfit GTR,0
Смарт часы CANYON CNS-SW81BR Black-Red,26990,CANYON,черный,200 мАч,CANYON,0
Смарт часы SAMSUNG Galaxy Watch Active2 Stainless 44mm Rose Gold (R820-NSDASKZ),174890,Super AMOLED,5.2,"есть, Glonass/ Galileo и BeiDou",Active2,5
Смарт часы GARMIN Fenix 6S Silver w/Black Band,395990,"1,2 дюйм (3,0 см)",есть,нет,Fenix,0
"Смарт часы GARMIN Fenix 6S Pro, Black w/Black Band",415990,GARMIN,"1,2 дюйм (3,0 см)",есть,Fenix,0
"Смарт часы GARMIN Fenix 6 Sapphire, Gray w/Black Band ",474990,есть,нет,32 Гб,Fenix,0
Смарт часы GARMIN Instinct Graphite,155990,есть,нет,есть,Instinct,0
Смарт часы CANYON CNS-SW71SS Silver,24990,240х240,до 7 дней,1 год,CANYON,0
Смарт часы GARMIN Forerunner 935,209970,нет,Тайвань,нет,Forerunner,0
Смарт часы XIAOMI Amazfit GTR 3 PRO Infinite Black,99890,5.2,нет,XIAOMI,Amazfit GTR,0
Смарт часы SAMSUNG Galaxy Watch4 44mm Silver (SM-R870NZSACIS),154890,Super AMOLED,нет,1 час 40 мин,4 series,0
Смарт часы GARMIN FORERUNNER 245,160990,"1,2 дюйм (3,0 см)",есть,до 24 часов,Forerunner,0
Смарт часы GARMIN FENIX 6 PRO SOLAR,489990,есть,нет,32 Гб,Fenix,0
Смарт часы XIAOMI Amazfit GTS Gray,56590,220 мАч,5.2,нет,Amazfit GTS,0
Смарт часы OPPO watch 41mm OW19W6 (PINK),119990,AMOLED,есть,есть,OPPO,0
"Смарт часы GARMIN VENU Sq, Slate Aluminium Bezel (010-02427-10)",104990,есть,нет,нет,Venu,0
"Смарт часы GARMIN VENU Sq Music Edition, Slate Aluminium Bezel (010-02426-10)",129990,GARMIN,есть,есть,Venu,0
"Смарт часы GARMIN Fenix 6S Sapphire, Carbon Grey DLC w/Blk Band",474990,"1,2 дюйм (3,0 см)",есть,нет,Fenix,0
"Смарт часы GARMIN Fenix 6 Pro, Black w/Black Band",415990,есть,нет,32 Гб,Fenix,0
"Смарт часы GARMIN Fenix 6X Sapphire,Carbon Gray DLC w/Black Band ",514990,серый,есть,нет,Fenix,0
"Смарт часы GARMIN Fenix 5S Plus (Белые, с ремешком цвета морской пены)",309990,"1,2 дюйм (3,0 см)",есть,нет,Fenix,0
Смарт часы CANYON CNS-SW71BB Black,24990,1 год,нет,до 7 дней,CANYON,0
Смарт часы SAMSUNG Galaxy Watch Active R500 NZKASKZ Black,89890,"1,1 дюйм  (2,8 см)",нет,"0,025",SAMSUNG,0
